CODE_UAI;NUM_SIRET;CODE_ACADEMIE;ACADEMIE;DEPARTEMENT;SIGLE_UAI;NATURE_UAI;PATRONYME;NOM_ETABLISSEMENT;STATUT;CONTRAT_ETABLISSEMENT;ADRESSE_POSTALE;CODE_POSTAL;CODE_INSEE;COMMUNE;TELEPHONE;FAX;SITE_WEB;MAIL;MINISTERE_TUTELLE;INTERNAT;ANNEE_CONSTRUCTION;DATE_MAJ;GEO
0922801V;20007691700018;025;Versailles;92;LGT;lycée d'enseignement général et technologique;SIMONE-VEIL;Lycée général et technologique Simone Veil;public;;6 place Jules Guesde;92100;92012;Boulogne-Billancourt;01.40.84.72.20;;http://www.lyc-0922801v-boulogne.ac-versailles.fr/;ce.0922801V@ac-versailles.fr;Éducation nationale;;2018;2026-03-12;48.82698608047683, 2.2417255523005926
0911251R;19911251700016;025;Versailles;91;LGT;lycée d'enseignement général et technologique;PARC-DES-LOGES;Lycée général et technologique Parc des Loges;public;;Boulevard des Champs Elysées;91000;91228;Évry-Courcouronnes;0160776172;0160774785;http://www.lyc-parc-evry.ac-versailles.fr/;ce.0911251R@ac-versailles.fr;Éducation nationale;;1972;2026-03-12;48.626017144327726, 2.4240720744403896
0920135X;19920135100012;025;Versailles;92;LGT;lycée d'enseignement général et technologique;EMMANUEL-MOUNIER;Lycée général et technologique Emmanuel Mounier;public;;35 RUE DES PRES HAUTS;92290;92019;Châtenay-Malabry;0141876030;0147022032;http://www.lyc-jaures-chatenay.ac-versailles.fr/;ce.0920135X@ac-versailles.fr;Éducation nationale;;1963;2026-01-13;48.76898571363668, 2.277245906236283
0922867S;20008962100011;025;Versailles;92;LGT;lycée d'enseignement général et technologique;ÉCOLE-EUROPÉENNE-PARIS-LA-DÉFENSE;Lycée général et technologique Ecole européenne de Paris La Défense;public;;13 rue de l'Industrie;92400;92026;Courbevoie;;;;ce.0922867S@ac-versailles.fr;Éducation nationale;;;2026-01-13;48.89137296187969, 2.2556102795283532
0941470M;19941470700018;024;Créteil;94;LGT;lycée d'enseignement général et technologique;SAMUEL-DE-CHAMPLAIN;Lycée polyvalent Samuel de Champlain;public;;61 rue DES BORDES;94430;94019;Chennevières-sur-Marne;0156861910;0145769169;http://www.lyceeschamplain.fr/;ce.0941470M@ac-creteil.fr;Éducation nationale;;1976;2026-02-16;48.79882528150389, 2.5564423463815262
0950761L;30409525000011;025;Versailles;95;LPO PR;lycée polyvalent;NOTRE-DAME-DE-LA-COMPASSION;Lycée polyvalent privé Notre Dame de La Compassion;privé;lycée privé sous contrat Éducation nationale;8 place Nicolas Flamel;95300;95500;Pontoise;0134416100;0134416101;;ce.0950761L@ac-versailles.fr;Éducation nationale;;;2026-03-12;49.052231107321504, 2.0994798788149396
0754081D;77569150400028;001;Paris;75;LG PR;lycée d'enseignement général;SAINTE-URSULE-LOUISE-DE-BETTIGNIES;Lycée privé Sainte Ursule-Louise de Bettignies;privé;lycée privé sous contrat Éducation nationale;25 rue Daubigny;75017;75117;Paris 17e Arrondissement;0142277581;0142279655;http://www.ste-ursule.fr/;ce.0754081D@ac-paris.fr;Éducation nationale;;;2026-03-12;48.885902436925115, 2.3074889584434857
0932110N;90750918600017;024;Créteil;93;LG PR;lycée d'enseignement général;CHNE-OR-PLAOT-FORMATION;Lycée général privé Chné Or;privé;lycée privé sous contrat Éducation nationale;17 rue du Clos Bénard;93300;93001;Aubervilliers;0141611790;;;ce.0932110N@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.91119017642334, 2.386460097915849
0782603F;19782603500010;025;Versailles;78;LP;lycée professionnel;JACQUES-PRÉVERT;Lycée professionnel Jacques Prévert;public;;88 avenue DES ETATS UNIS;78000;78646;Versailles;0139072840;0139518426;http://www.lyc-prevert-versailles.ac-versailles.fr/;ce.0782603F@ac-versailles.fr;Éducation nationale;;1920;2026-01-23;48.810176463250876, 2.1497513737726384
0783447Y;19782577100011;025;Versailles;78;LP;lycée professionnel;SIMONE-WEIL;Lycée professionnel Simone Weil;public;;8 rue du Val d'Oise;78700;78172;Conflans-Sainte-Honorine;0139198826;0139726711;http://www.lyc-weil-conflans.ac-versailles.fr/;ce.0783447Y@ac-versailles.fr;Éducation nationale;Oui;1974;2026-03-27;49.006431317133604, 2.0871078386475665
0941474S;19941474900010;024;Créteil;94;LPO;lycée polyvalent;DARIUS-MILHAUD;Lycée polyvalent Darius Milhaud;public;;80 rue DU PROFESSEUR BERGONIE;94276;94043;Le Kremlin-Bicêtre;0143901515;0143901573;http://www.ldm94.fr/;ce.0941474S@ac-creteil.fr;Éducation nationale;;1975;2026-02-10;48.80228099461428, 2.350712236765382
0781950W;19781950100010;025;Versailles;78;LPO;lycée polyvalent;LOUISE-WEISS;Lycée polyvalent Louise Weiss;public;;201 avenue du Général de Gaulle;78260;78005;Achères;0139220857;0139113046;http://www.lyc-weiss-acheres.ac-versailles.fr/index.php;ce.0781950W@ac-versailles.fr;Éducation nationale;;1993;2026-03-12;48.970735004341044, 2.0735395678037825
0772310T;19772310900017;024;Créteil;77;LPO;lycée polyvalent;SIMONE-SIGNORET;Lycée polyvalent Simone Signoret;public;;Place DU 14 JUILLET;77000;77487;Vaux-le-Pénil;0160682464;0164093063;http://lycee-signoret.fr/;ce.0772310T@ac-creteil.fr;Éducation nationale;;1989;2026-02-03;48.53091007605829, 2.6726315665095157
0932074Z;19932074800015;024;Créteil;93;LPO;lycée polyvalent;MARCEL-CACHIN;Lycée polyvalent Marcel Cachin;public;;11 rue MARCEL CACHIN;93400;93070;Saint-Ouen-sur-Seine;0149189750;0149189767;http://lyceemarcelcachin.fr/;ce.0932074Z@ac-creteil.fr;Éducation nationale;;1965;2026-03-12;48.91757977838111, 2.338313850349661
0772627M;37927877300013;024;Créteil;77;SEP PR;Section d’enseignement professionnel;MAURICE-RONDEAU (SEP);Section d'Enseignement Professionnel Maurice Rondeau;privé;autres établissements;1 PLACE DU CLOS SAINT GEORGES;77600;77058;Bussy-Saint-Georges;0164660878;;;ce.0772627m@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.84183820722432, 2.7050059407288605
0920898B;32167859100017;025;Versailles;92;LGT PR;lycée d'enseignement général et technologique;RAMBAM (Maîmonide);Lycée général et technologique privé Rambam;privé;lycée privé sous contrat Éducation nationale;11 rue des Abondances;92100;92012;Boulogne-Billancourt;0146052719;0147129198;;ce.0920898B@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.84289076184112, 2.2293480169597135
0771237B;78495255800012;024;Créteil;77;LGT PR;lycée d'enseignement général et technologique;SAINT-LAURENT-LA-PAIX-NOTRE-DAME;Lycée général et technologique privé Saint Laurent La Paix Notre Dame;privé;lycée privé sous contrat Éducation nationale;43 rue Alfred Brebion;77400;77243;Lagny-sur-Marne;0164124700;;;ce.0771237B@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.873392354181284, 2.708835438362456
0921229L;19921229100017;025;Versailles;92;LPO LYC METIER;lycée polyvalent;ANATOLE-FRANCE;Lycée polyvalent Anatole-France - Lycée des métiers de l'électrotechnique, de l'électricité, des services aux collectivités et à l'environnement;public;;130 boulevard de Valmy;92700;92025;Colombes;0147841034;0147808764;http://www.lyc-france-colombes.ac-versailles.fr/;ce.0921229L@ac-versailles.fr;Éducation nationale;;1970;2026-03-12;48.93177221356595, 2.255350262968282
0932291K;19931609200014;024;Créteil;93;LPO LYC METIER;lycée polyvalent;NICOLAS-JOSEPH-CUGNOT;Lycée polyvalent Nicolas-Joseph Cugnot  - Lycée des métiers de l'automobile et des engins motorisés;public;;55 boulevard LOUIS ARMAND;93330;93050;Neuilly-sur-Marne;0149448110;0149448139;https://www.lyceecugnot.fr/;ce.0932291K@ac-creteil.fr;Éducation nationale;;1976;2025-07-08;48.861536325966085, 2.520260925956096
0940126B;19940126600036;024;Créteil;94;LPO LYC METIER;lycée polyvalent;MAXIMILIEN-PERRET;Lycée polyvalent Maximilien Perret;public;;Place SAN BENEDETTO DEL TRONTO;94141;94002;Alfortville;0143535200;0143535201;http://www.maxp.fr/;ce.0940126B@ac-creteil.fr;Éducation nationale;;1997;2026-02-03;48.78664176268498, 2.4237637613102048
0951104J;19951104900017;025;Versailles;95;LPO;lycée polyvalent;JEAN-PERRIN;Lycée polyvalent Jean Perrin;public;;2 rue des Egalisses;95310;95572;Saint-Ouen-l'Aumône;0134325828;0130370040;;ce.0951104J@ac-versailles.fr;Éducation nationale;Non;1973;2026-03-12;49.05795045401262, 2.1301623470731075
0911492C;19911492700015;025;Versailles;91;LPO;lycée polyvalent;ESSOURIAU (DE L');Lycée polyvalent L'Essouriau;public;;Avenue de Dordogne;91940;91692;Les Ulis;0164868282;0164868299;www.lyc-lessouriau-les-ulis.ac-versailles.fr/;ce.0911492C@ac-versailles.fr;Éducation nationale;;1976;2026-03-12;48.676802942964635, 2.1661385949951097
0770942F;19772437000014;024;Créteil;77;LPO;lycée polyvalent;THIBAUT-DE-CHAMPAGNE;Lycée polyvalent Thibaut de Champagne;public;;3 rue du Collège;77160;77379;Provins;0164003333;0164000745;http://www.lyceethibautdechampagne.com/;ce.0770942F@ac-creteil.fr;Éducation nationale;Non;1964;2026-01-15;48.56122970638866, 3.292234142318948
0772332S;19772332300014;024;Créteil;77;LPO;lycée polyvalent;SONIA-DELAUNAY;Lycée polyvalent Sonia Delaunay;public;;1 rue du Lycée;77240;77067;Cesson;0164412929;0164412928;http://www.lyceesoniadelaunay77.com/;ce.0772332S@ac-creteil.fr;Éducation nationale;;1994;2026-03-27;48.57265222109859, 2.608798566040047
0932030B;19932030000023;024;Créteil;93;LPO;lycée polyvalent;MAURICE-UTRILLO;Lycée polyvalent Maurice Utrillo;public;;152 rue JEAN DURAND;93240;93072;Stains;0149714000;0142350855;http://lyceeutrillo.fr/;ce.0932030B@ac-creteil.fr;Éducation nationale;;1993;2026-03-12;48.95257590227558, 2.3694117398901255
0911578W;19911578300011;025;Versailles;91;LPO;lycée polyvalent;PIERRE-MENDÈS-FRANCE;Lycée polyvalent Pierre Mendès France;public;;1 place Frédéric Chichin;91130;91521;Ris-Orangis;0169430690;0169436208;http://www.lyc-mendesfrance-ris.ac-versailles.fr/;ce.0911578W@ac-versailles.fr;Éducation nationale;;1979;2026-03-12;48.63932102544692, 2.41118910185216
0951618T;19951618800018;025;Versailles;95;LP LYC METIER;lycée professionnel;AUGUSTE-ESCOFFIER;Lycée professionnel Auguste Escoffier - Lycée de la gastronomie et des énergies;public;;77 rue DE PIERRELAYE;95610;95218;Éragny;0134024080;0134489325;http://www.lyc-escoffier-eragny.ac-versailles.fr/;ce.0951618T@ac-versailles.fr;Éducation nationale;Oui;1984;2026-01-29;49.02192672562954, 2.1083446404604307
0750778N;19750778300011;001;Paris;75;LP LYC METIER;lycée professionnel;TURQUETIL;Lycée Professionnel Turquetil;public;;18 passage TURQUETIL;75011;75111;Paris 11e Arrondissement;0143702013;0143730316;https://www.ac-paris.fr/serail/jcms/s1_1466684/fr/lycee-turquetil;ce.0750778N@ac-paris.fr;Éducation nationale;;1900;2026-01-27;48.85215488666993, 2.3928408606033575
0911828T;19911828200011;025;Versailles;91;LPO LYC METIER;lycée polyvalent;GEORGES-BRASSENS;Lycée polyvalent Georges Brassens, lycée des métiers du numérique et des arts appliqués;public;;8 rue Georges Brassens;91000;91228;Évry-Courcouronnes;0169475470;0160793117;http://www.lyc-brassens-courcouronnes.ac-versailles.fr/;ce.0911828T@ac-versailles.fr;Éducation nationale;;1983;2026-03-12;48.626687758550254, 2.4202747764766652
0780273Y;19780273900015;025;Versailles;78;LPO LYC METIER;lycée polyvalent;LOUIS-BLÉRIOT;Lycée polyvalent Louis Blériot - Lycée des métiers de l'industrie connectée, de la sécurité et des services;public;;1 rue Léo Lagrange;78197;78621;Trappes;0130518818;0130517518;http://www.lyc-bleriot-trappes.ac-versailles.fr/;ce.0780273Y@ac-versailles.fr;Éducation nationale;;1970;2026-03-12;48.77727873583435, 1.9810310827260558
0932119Y;19932119100017;024;Créteil;93;LPO LYC METIER;lycée polyvalent;EUGÈNE-HÉNAFF;Lycée polyvalent Eugène Hénaff - Lycée des métiers d'art, de la construction et de l'efficacité énergétique;public;;55 avenue Raspail;93170;93006;Bagnolet;0141632610;0143605311;http://lyceehenaff.fr/;ce.0932119Y@ac-creteil.fr;Éducation nationale;;1972;2026-02-09;48.874883930460726, 2.4307211572569147
0770934X;19770934800019;024;Créteil;77;LPO LYC METIER;lycée polyvalent;LEONARD-DE-VINCI;Lycée L. de Vinci - Lycée des métiers de l'ingénierie mécanique et électrotechnique, de la comptabilité et de l'informatique de gestion;public;;2 bis rue EDOUARD BRANLY;77011;77288;Melun;0160566060;0160566061;http://www2.vinci-melun.org/;ce.0770934X@ac-creteil.fr;Éducation nationale;Oui;1965;2026-03-12;48.55108679994959, 2.659903143940967
0910808J;77571885100030;025;Versailles;91;LGT PR;lycée d'enseignement général et technologique;SAINT-CHARLES;Lycée général et technologique privé Saint Charles;privé;lycée privé sous contrat Éducation nationale;2 rue G. Anthonioz de Gaulle;91200;91027;Athis-Mons;0160487100;0169384845;;ce.0910808J@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.709322753904594, 2.3900453916725817
0753815P;63202980700039;001;Paris;75;LGT PR;lycée d'enseignement général et technologique;COURS-DES-PETITS-CHAMPS;Lycée général et technologique privé Les Petits Champs;privé;lycée privé sous contrat Éducation nationale;28 rue du Plateau;75019;75119;Paris 19e Arrondissement;0143675959;0143673947;http://www.petitschamps.fr/;petitschamps@petitschamps.fr;Éducation nationale;;;2026-03-12;48.87822059311112, 2.383712469734524
0940882Y;8404740840018;024;Créteil;94;LGT PR;lycée d'enseignement général et technologique;SAINT-MICHEL;Lycée général et technologique privé Saint Michel;privé;lycée privé sous contrat Éducation nationale;10 ter rue Jeanne d'Arc;94165;94067;Saint-Mandé;0180516443;;;ce.0940882Y@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.83978582150848, 2.4188707872196216
0912342B;41907866200014;025;Versailles;91;LGT PR;lycée d'enseignement général et technologique;IGNY (La Salle) (Agricole);Lycée général et technologique privé la Salle Igny;privé;lycée privé sous contrat Éducation nationale;10 avenue de la Division Leclerc;91430;91312;Igny;0169410801;0169418572;;ce.0912342b@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.74124346981016, 2.2281145910711135
0911493D;19911493500018;025;Versailles;91;LP;lycée professionnel;FRÈRES-MOREAU (LES);Lycée professionnel Les Frères Moreau;public;;Rue de Brunoy;91480;91514;Quincy-sous-Sénart;0169001070;0169001085;http://www.lyc-moreau-quincy.ac-versailles.fr/;ce.0911493D@ac-versailles.fr;Éducation nationale;;1976;2026-03-12;48.675832224340674, 2.531597065848594
0911401D;19911401800021;025;Versailles;91;LP;lycée professionnel;NELSON-MANDELA;Lycée professionnel Nelson-Mandela;public;;8 RUE JULIEN PRANVILLE;91150;91223;Étampes;0169921515;0164949022;http://www.lyc-mandela-etampes.ac-versailles.fr/fr;ce.0911401D@ac-versailles.fr;Éducation nationale;;2014;2026-03-12;48.43409409626248, 2.1371965561288526
0751710B;19751710500015;001;Paris;75;LP;lycée professionnel;NICOLAS-LOUIS-VAUQUELIN;Lycée Professionnel N.L Vauquelin;public;;13 avenue Boutroux;75013;75113;Paris 13e Arrondissement;0140770060;0140770065;https://www.ac-paris.fr/serail/jcms/s2_2044180/fr/lycee-des-metiers-vauquelin;ce.0751710B@ac-paris.fr;Éducation nationale;;1970;2026-03-12;48.82225795700617, 2.3761827170945153
0930128J;19930128400014;024;Créteil;93;LP;lycée professionnel;DENIS-PAPIN;Lycée professionnel Denis Papin;public;;34 avenue Michelet;93120;93027;La Courneuve;0149921600;;http://www.lycee-denis-papin-la-courneuve.com/;ce.0930128J@ac-creteil.fr;Éducation nationale;;;2026-03-30;48.92887989557298, 2.3863947991490666
0920166F;19920166600013;025;Versailles;92;LP;lycée professionnel;VASSILY-KANDINSKY;Lycée professionnel Vassily Kandinsky;public;;96 boulevard Bineau;92200;92051;Neuilly-sur-Seine;0146244316;0146240390;http://www.lyc-kandinsky-neuilly.ac-versailles.fr/;ce.0920166F@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.88794346722614, 2.276685829952368
0771880A;19771880200014;024;Créteil;77;LP;lycée professionnel;CHARLES-BAUDELAIRE;Lycée professionnel Charles Baudelaire;public;;Boulevard DU CHEVALIER BAYARD;77333;77284;Meaux;0160090705;0160230177;https://www.lpbaudelaire.fr/;ce.0771880A@ac-creteil.fr;Éducation nationale;;1980;2026-03-12;48.95450640962863, 2.914051656596103
0750689S;19750689200011;001;Paris;75;LGT;lycée d'enseignement général et technologique;PAUL-BERT;Lycée général et technologique Paul Bert;public;;7 rue Huyghens;75014;75114;Paris 14e Arrondissement;0143203264;0143209979;https://www.ac-paris.fr/serail/jcms/s2_1773787/fr/cite-scolaire-paul-bert;ce.0750689S@ac-paris.fr;Éducation nationale;;;2026-03-12;48.84088231184501, 2.328867020425414
0920131T;19920131000018;025;Versailles;92;LGT;lycée d'enseignement général et technologique;AUGUSTE-RENOIR;Lycée général et technologique Auguste Renoir;public;;137 rue DU MENIL;92600;92004;Asnières-sur-Seine;0141323262;0141323266;http://www.lyc-renoir-asnieres.ac-versailles.fr/;ce.0920131T@ac-versailles.fr;Éducation nationale;;1958;2026-01-26;48.922369721573425, 2.281972996123417
0782924E;19782924500012;025;Versailles;78;LGT;lycée d'enseignement général et technologique;EVARISTE-GALOIS;Lycée général et technologique Evariste Galois;public;;8 rue EVARISTE GALOIS;78500;78586;Sartrouville;0130867272;0139154202;http://www.lyc-galois-sartrouville.ac-versailles.fr/;ce.0782924E@ac-versailles.fr;Éducation nationale;;1970;2026-03-05;48.92837364934127, 2.1642334670814893
0941347D;19941347700019;024;Créteil;94;LGT;lycée d'enseignement général et technologique;PABLO-PICASSO;Lycée général et technologique Pablo Picasso;public;;2 avenue Pablo Picasso;94120;94033;Fontenay-sous-Bois;0148762673;;https://lyceepicasso.org/;ce.0941347D@ac-creteil.fr;Éducation nationale;;1973;2026-03-12;48.855748717849075, 2.4863687107756998
0772127U;19772127700014;024;Créteil;77;LGT;lycée d'enseignement général et technologique;GALILÉE;Lycée général et technologique Galilée;public;;Avenue André Malraux;77385;77122;Combs-la-Ville;0160345330;0160345331;https://lycee-galilee.jimdo.com/;ce.0772127U@ac-creteil.fr;Éducation nationale;;1986;2026-03-12;48.652191439656086, 2.56174477575254
0770930T;19770930600025;024;Créteil;77;LGT;lycée d'enseignement général et technologique;HENRI-MOISSAN;Lycée général et technologique Henri Moissan;public;;20 cours de Verdun;77100;77284;Meaux;0160097770;0160097775;http://www.lyceemoissan.fr/;ce.0770930T@ac-creteil.fr;Éducation nationale;Oui;;2026-03-12;48.9587066334898, 2.87505516661365
0930936M;39446270900012;024;Créteil;93;LPO PR;lycée polyvalent;SAINT-BENOIST-DE-L'EUROPE;Lycée polyvalent privé Saint Benoist de l'Europe;privé;lycée privé sous contrat Éducation nationale;82 avenue Gambetta;93172;93006;Bagnolet;0143621162;;;ce.0930936M@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.87106189954326, 2.4178456611967993
0750684L;19750684300014;001;Paris;75;LG;lycée d'enseignement général;GABRIEL-FAURÉ;Lycée général et technologique Gabriel Fauré;public;;81 AVENUE DE CHOISY;75013;75113;Paris 13e Arrondissement;0145852298;0145841421;http://lyc-gabriel-faure.scola.ac-paris.fr/;ce.0750684L@ac-paris.fr;Éducation nationale;;1960;2026-01-13;48.824045272807375, 2.361407304319577
0940117S;19940117500013;024;Créteil;94;LG;lycée d'enseignement général;EDOUARD-BRANLY;Lycée polyvalent Edouard Branly;public;;8 rue BAUYN DE PERREUSE;94130;94052;Nogent-sur-Marne;0148732212;0148738133;http://branlynogent.free.fr/;ce.0940117S@ac-creteil.fr;Éducation nationale;;1930;2026-02-17;48.83523004014952, 2.4826050782584668
0753809H;32010218900018;001;Paris;75;LG PR;lycée d'enseignement général;PAUL-CLAUDEL- d'HULST;Lycée général privé Paul Claudel d'Hulst;privé;lycée privé sous contrat Éducation nationale;118 rue de Grenelle;75007;75107;Paris 7e Arrondissement;0144186383;0144186387;www.paulclaudel-hulst.fr/;ce.0753809H@ac-paris.fr;Éducation nationale;;;2026-03-12;48.856978437808436, 2.319680606431326
0753959W;78471366100022;001;Paris;75;LG PR;lycée d'enseignement général;ENSEMBLE-SCOLAIRE-BATIGNOLLES-EPINETTE;Lycée privé Saint Michel des Batignolles;privé;lycée privé sous contrat Éducation nationale;35 avenue de Saint-Ouen;75017;75117;Paris 17e Arrondissement;0144858300;0142287582;http://www.saint-michel-des-batignolles.ensemble-scolaire-batignolles-epinettes.fr/;ce.0753959W@ac-paris.fr;Éducation nationale;;;2026-03-12;48.88966098904085, 2.3261326004544687
0772290W;78499669600034;024;Créteil;77;LG PR;lycée d'enseignement général;SAINTE-CROIX;Lycée général privé Sainte Croix;privé;lycée privé sous contrat Éducation nationale;1 rue des Jacobins;77160;77379;Provins;0160585540;;;ce.0772290W@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.561954462586996, 3.2938102525126074
0942376X;51431794000013;024;Créteil;94;LG PR;lycée d'enseignement général;COURS-DU-HAMEAU;Lycée général privé cours du hameau;privé;lycée privé sous contrat Éducation nationale;19 rue Jean-François Marmontel;94320;94073;Thiais;0148534075;;;ce.0942376X@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.75306509111089, 2.396324623157304
0910429X;19910429000010;025;Versailles;91;EREA;établissement régional d’enseignement adapté;CHÂTEAU-DU-LAC (LE);Etablissement régional d'enseignement adapté Le Château du Lac;public;;2 rue de la Roche;91340;91461;Ollainville;0160832363;0160839004;http://www.ereaollainville.fr/;ce.0910429X@ac-versailles.fr;Éducation nationale;Oui;1800;2026-03-12;48.59048561155682, 2.2232144480112868
0770342D;19770342400014;024;Créteil;77;EREA;établissement régional d’enseignement adapté;LÉOPOLD-BELLAN;Lycée d'enseignement adapté de Chamigny;public;;Domaine DE L'ANGE GARDIEN;77260;77078;Chamigny;0160244160;0160224612;http://www.erealeopoldbellanchamigny.fr/;ce.0770342D@ac-creteil.fr;Éducation nationale;Oui;1918;2026-03-20;48.98022117117861, 3.145269903416594
0750710P;19750710600015;001;Paris;75;LT;lycée d'enseignement technologique;AUGUSTE-RENOIR;Lycée technologique Auguste Renoir;public;;24 rue Ganneron;75018;75118;Paris 18e Arrondissement;0140084560;0140084573;http://www.ltaa-augusterenoir-paris.com/;ce.0750710P@ac-paris.fr;Éducation nationale;;;2026-03-12;48.88688888315749, 2.328145879801871
0912433A;20009541200017;025;Versailles;91;LGT;lycée d'enseignement général et technologique;LYCÉE-INTERNATIONAL-PALAISEAU-PARIS-SACLAY;Lycée International-Palaiseau-Paris-Saclay;public;;19 Cours Pierre Vasseur;91120;91477;Palaiseau;;;;ce.0912433A@ac-versailles.fr;Éducation nationale;Oui;2021;2026-02-09;48.71300566206805, 2.205374920034047
0750690T;19750690000012;001;Paris;75;LGT;lycée d'enseignement général et technologique;FRANCOIS-VILLON;Lycée Polyvalent François Villon;public;;10 avenue MARC SANGNIER;75014;75114;Paris 14e Arrondissement;0153902500;0143956422;http://lyc-francois-villon.scola.ac-paris.fr/;ce.0750690T@ac-paris.fr;Éducation nationale;;1958;2026-01-13;48.826222298748995, 2.3058203184226214
0931272C;19931272900015;024;Créteil;93;LGT;lycée d'enseignement général et technologique;GUSTAVE-EIFFEL;Lycée général et technologique Gustave Eiffel;public;;16 CHEMIN DE LA RENARDIERE;93220;93032;Gagny;0143028036;0143029021;http://eiffel-gagny.org/;ce.0931272C@ac-creteil.fr;Éducation nationale;;1982;2026-01-15;48.88870710130037, 2.5412578188344055
0930120A;19930120100018;024;Créteil;93;LGT;lycée d'enseignement général et technologique;JACQUES-FEYDER;Lycée général et technologique Jacques Feyder;public;;10 rue Henri Wallon;93801;93031;Épinay-sur-Seine;0149717200;0148213640;http://www.feyder.fr/;ce.0930120A@ac-creteil.fr;Éducation nationale;Oui;1965;2026-03-02;48.95509744548008, 2.320839880589892
0932861E;85357995100;024;Créteil;93;LGT;lycée d'enseignement général et technologique;ASSOCIATION-REVE;Lycée général et technologique privé Réussite Educative Valeurs et Epanouissement;privé;lycée privé sous contrat Éducation nationale;3 rue Henri Wallon;93800;93031;Épinay-sur-Seine;0142358888;;;ce.0932861E@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.95380106640444, 2.3202710195190304
0780515L;19780515300016;025;Versailles;78;LGT;lycée d'enseignement général et technologique;SEPT-MARES (LES);Lycée général et technologique Les Sept Mares;public;;13 rue de la Beauce;78310;78383;Maurepas;0130139898;0134828710;http://www.lyc-7mares-maurepas.ac-versailles.fr/;ce.0780515L@ac-versailles.fr;Éducation nationale;;1972;2026-03-12;48.76710826767169, 1.9450522467656832
0941711Z;77567877400164;024;Créteil;94;LG PR;lycée d'enseignement général;OZAR-HATORAH (FILLES);Lycée général privé Ozar Hatorah Filles;privé;lycée privé sous contrat Éducation nationale;65 rue Saint Simon;94000;94028;Créteil;0143999400;;;ce.0941711Z@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.79457001613006, 2.445450178256381
0940143V;19940143100010;024;Créteil;94;LP;lycée professionnel;JEAN-MOULIN;Lycée professionnel Jean Moulin;public;;8 rue du Docteur Lebel;94307;94080;Vincennes;0143284442;;http://jeanmoulinvincennes.fr/;ce.0940143V@ac-creteil.fr;Éducation nationale;;1946;2026-03-12;48.84655197901299, 2.431285467310649
0911343R;19911343200017;025;Versailles;91;LP;lycée professionnel;AUGUSTE-PERRET;Lycée professionnel Auguste Perret;public;;1 avenue de la Liberté;91000;91228;Évry-Courcouronnes;0160913350;0160913352;http://www.lyc-perret-evry.ac-versailles.fr/;ce.0911343R@ac-versailles.fr;Éducation nationale;;1973;2026-03-12;48.64043660966449, 2.4350065137741477
0931024H;19931024400017;024;Créteil;93;LP;lycée professionnel;JEAN-PIERRE-TIMBAUD;Lycée professionnel Jean-Pierre Timbaud - Lycée des métiers de l'environnement et de l'écologie industrielle;public;;103 avenue de la République;93300;93001;Aubervilliers;0148338788;0148330311;http://www.lycee-jeanpierretimbaud.fr/;ce.0931024H@ac-creteil.fr;Éducation nationale;;1968;2026-02-09;48.90482942151991, 2.391049172456102
0932783V;20009537000017;024;Créteil;93;LPO;lycée polyvalent;JOSÉPHINE-BAKER;Lycée polyvalent Joséphine Baker;public;;2-10, rue d'Amiens;93200;93066;Saint-Denis;0184811415;;;ce.0932783V@ac-creteil.fr;Éducation nationale;;2021;2026-03-12;48.95327463878157, 2.368387362801961
0950666H;19950666800011;025;Versailles;95;LPO;lycée polyvalent;GEORGES-BRAQUE;Lycée polyvalent Georges Braque, lycée des métiers de l'intelligence économique et du management;public;;21 rue VICTOR PUISEUX;95100;95018;Argenteuil;0139965050;0139965066;http://www.lyc-braque-argenteuil.ac-versailles.fr/;ce.0950666H@ac-versailles.fr;Éducation nationale;;;2026-01-21;48.9505357569, 2.250704093570664
0911962N;19911962900012;025;Versailles;91;LPO;lycée polyvalent;MARIE-LAURENCIN;Lycée polyvalent Marie Laurencin;public;;51 rue Paul Cézanne;91542;91386;Mennecy;0169900578;0169900236;http://www.lyc-laurencin-mennecy.ac-versailles.fr/;ce.0911962N@ac-versailles.fr;Éducation nationale;;1991;2026-03-12;48.56366828645428, 2.4388686466924994
0932369V;39446270900012;024;Créteil;93;SEP PR;Section d’enseignement professionnel;SAINT-BENOIST-DE-L'EUROPE (SEP);Section d'enseignement professionnel Lycée Saint Benoist l'Europe;privé;autres établissements;82 avenue Gambetta;93172;93006;Bagnolet;0143621162;;;ce.0932369V@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.87106189954326, 2.4178456611967993
